Longitude,Latitude,Tiff_Width,Tiff_Height
150.09,9.18,360.0,3320.0
150.1,9.18,400.0,3320.0
150.11,9.18,440.0,3320.0
150.14,9.18,560.0,3320.0
150.15,9.18,600.0,3320.0
150.16,9.18,640.0,3320.0
150.06,9.17,240.0,3360.0
150.07,9.17,280.0,3360.0
150.08,9.17,320.0,3360.0
150.09,9.17,360.0,3360.0
150.1,9.17,400.0,3360.0
150.11,9.17,440.0,3360.0
150.12,9.17,480.0,3360.0
150.13,9.17,520.0,3360.0
150.14,9.17,560.0,3360.0
150.15,9.17,600.0,3360.0
150.16,9.17,640.0,3360.0
150.17,9.17,680.0,3360.0
150.18,9.17,720.0,3360.0
150.19,9.17,760.0,3360.0
150.06,9.16,240.0,3400.0
150.07,9.16,280.0,3400.0
150.08,9.16,320.0,3400.0
150.09,9.16,360.0,3400.0
150.1,9.16,400.0,3400.0
150.11,9.16,440.0,3400.0
150.12,9.16,480.0,3400.0
150.13,9.16,520.0,3400.0
150.14,9.16,560.0,3400.0
150.15,9.16,600.0,3400.0
150.16,9.16,640.0,3400.0
150.17,9.16,680.0,3400.0
150.18,9.16,720.0,3400.0
150.19,9.16,760.0,3400.0
150.2,9.16,800.0,3400.0
150.21,9.16,840.0,3400.0
150.02,9.15,80.0,3440.0
150.04,9.15,160.0,3440.0
150.05,9.15,200.0,3440.0
150.07,9.15,280.0,3440.0
150.08,9.15,320.0,3440.0
150.09,9.15,360.0,3440.0
150.1,9.15,400.0,3440.0
150.11,9.15,440.0,3440.0
150.12,9.15,480.0,3440.0
150.13,9.15,520.0,3440.0
150.14,9.15,560.0,3440.0
150.15,9.15,600.0,3440.0
150.16,9.15,640.0,3440.0
150.18,9.15,720.0,3440.0
150.19,9.15,760.0,3440.0
150.2,9.15,800.0,3440.0
150.21,9.15,840.0,3440.0
150.22,9.15,880.0,3440.0
150.23,9.15,920.0,3440.0
150.01,9.14,40.0,3480.0
150.02,9.14,80.0,3480.0
150.03,9.14,120.0,3480.0
150.04,9.14,160.0,3480.0
150.05,9.14,200.0,3480.0
150.06,9.14,240.0,3480.0
150.07,9.14,280.0,3480.0
150.08,9.14,320.0,3480.0
150.09,9.14,360.0,3480.0
150.1,9.14,400.0,3480.0
150.11,9.14,440.0,3480.0
150.12,9.14,480.0,3480.0
150.13,9.14,520.0,3480.0
150.14,9.14,560.0,3480.0
150.15,9.14,600.0,3480.0
150.16,9.14,640.0,3480.0
150.17,9.14,680.0,3480.0
150.18,9.14,720.0,3480.0
150.19,9.14,760.0,3480.0
150.2,9.14,800.0,3480.0
150.21,9.14,840.0,3480.0
150.22,9.14,880.0,3480.0
150.23,9.14,920.0,3480.0
150.24,9.14,960.0,3480.0
150.0,9.13,0.0,3520.0
150.01,9.13,40.0,3520.0
150.02,9.13,80.0,3520.0
150.03,9.13,120.0,3520.0
150.04,9.13,160.0,3520.0
150.06,9.13,240.0,3520.0
150.08,9.13,320.0,3520.0
150.09,9.13,360.0,3520.0
150.1,9.13,400.0,3520.0
150.11,9.13,440.0,3520.0
150.12,9.13,480.0,3520.0
150.13,9.13,520.0,3520.0
150.14,9.13,560.0,3520.0
150.15,9.13,600.0,3520.0
150.16,9.13,640.0,3520.0
150.17,9.13,680.0,3520.0
150.18,9.13,720.0,3520.0
150.19,9.13,760.0,3520.0
150.2,9.13,800.0,3520.0
150.21,9.13,840.0,3520.0
150.22,9.13,880.0,3520.0
150.23,9.13,920.0,3520.0
150.24,9.13,960.0,3520.0
150.25,9.13,1000.0,3520.0
150.0,9.12,0.0,3560.0
150.01,9.12,40.0,3560.0
