Longitude,Latitude,Tiff_Width,Tiff_Height
-69.8,19.81,800.0,800.0
-70.0,19.69,0.0,1280.0
-69.99,19.69,40.0,1280.0
-69.98,19.69,80.0,1280.0
-69.97,19.68,120.0,1320.0
-69.96,19.68,160.0,1320.0
-69.95,19.68,200.0,1320.0
-69.95,19.67,200.0,1360.0
-69.94,19.67,240.0,1360.0
-69.99,19.66,40.0,1400.0
-69.98,19.66,80.0,1400.0
-69.94,19.66,240.0,1400.0
-69.93,19.66,280.0,1400.0
-69.92,19.66,320.0,1400.0
-69.92,19.65,320.0,1440.0
-69.91,19.65,360.0,1440.0
-69.9,19.65,400.0,1440.0
-69.9,19.64,400.0,1480.0
-70.0,19.63,0.0,1520.0
-69.9,19.63,400.0,1520.0
-69.89,19.63,440.0,1520.0
-69.89,19.62,440.0,1560.0
-69.89,19.61,440.0,1600.0
-69.9,19.6,400.0,1640.0
-69.89,19.6,440.0,1640.0
-69.91,19.59,360.0,1680.0
-70.0,19.57,0.0,1760.0
-69.9,19.57,400.0,1760.0
-69.91,19.56,360.0,1800.0
-70.0,19.55,0.0,1840.0
-69.99,19.55,40.0,1840.0
-69.91,19.55,360.0,1840.0
-69.99,19.54,40.0,1880.0
-69.91,19.54,360.0,1880.0
-69.9,19.54,400.0,1880.0
-69.91,19.53,360.0,1920.0
-69.9,19.53,400.0,1920.0
-69.89,19.53,440.0,1920.0
-69.93,19.52,280.0,1960.0
-69.88,19.52,480.0,1960.0
-70.0,19.51,0.0,2000.0
-69.98,19.51,80.0,2000.0
-69.97,19.51,120.0,2000.0
-69.94,19.51,240.0,2000.0
-69.92,19.51,320.0,2000.0
-69.88,19.51,480.0,2000.0
-69.87,19.51,520.0,2000.0
-69.97,19.5,120.0,2040.0
-69.95,19.5,200.0,2040.0
-69.94,19.5,240.0,2040.0
-69.9,19.5,400.0,2040.0
-69.89,19.5,440.0,2040.0
-69.99,19.49,40.0,2080.0
-69.96,19.49,160.0,2080.0
-69.95,19.49,200.0,2080.0
-69.92,19.49,320.0,2080.0
-69.91,19.49,360.0,2080.0
-69.9,19.49,400.0,2080.0
-69.89,19.49,440.0,2080.0
-70.0,19.48,0.0,2120.0
-69.99,19.48,40.0,2120.0
-69.98,19.48,80.0,2120.0
-69.94,19.48,240.0,2120.0
-69.93,19.48,280.0,2120.0
-69.92,19.48,320.0,2120.0
-69.91,19.48,360.0,2120.0
-69.89,19.48,440.0,2120.0
-69.99,19.47,40.0,2160.0
-69.98,19.47,80.0,2160.0
-69.95,19.47,200.0,2160.0
-69.93,19.47,280.0,2160.0
-69.91,19.47,360.0,2160.0
-69.9,19.47,400.0,2160.0
-69.89,19.47,440.0,2160.0
-70.0,19.46,0.0,2200.0
-69.99,19.46,40.0,2200.0
-69.98,19.46,80.0,2200.0
-69.97,19.46,120.0,2200.0
-69.96,19.46,160.0,2200.0
-69.95,19.46,200.0,2200.0
-69.93,19.46,280.0,2200.0
-69.92,19.46,320.0,2200.0
-69.91,19.46,360.0,2200.0
-69.9,19.46,400.0,2200.0
-69.89,19.46,440.0,2200.0
-70.0,19.45,0.0,2240.0
-69.97,19.45,120.0,2240.0
-69.96,19.45,160.0,2240.0
-69.95,19.45,200.0,2240.0
-69.94,19.45,240.0,2240.0
-69.92,19.45,320.0,2240.0
-69.91,19.45,360.0,2240.0
-69.9,19.45,400.0,2240.0
-69.89,19.45,440.0,2240.0
-69.88,19.45,480.0,2240.0
-70.0,19.44,0.0,2280.0
-69.95,19.44,200.0,2280.0
-69.94,19.44,240.0,2280.0
-69.9,19.44,400.0,2280.0
-69.89,19.44,440.0,2280.0
-69.88,19.44,480.0,2280.0
-69.87,19.44,520.0,2280.0
-69.95,19.43,200.0,2320.0
-69.92,19.43,320.0,2320.0
-69.87,19.43,520.0,2320.0
-70.0,19.42,0.0,2360.0
-69.99,19.42,40.0,2360.0
-69.96,19.42,160.0,2360.0
-69.95,19.42,200.0,2360.0
-69.87,19.42,520.0,2360.0
