Date,USDT-USD,BTC-USD,ETH-USD,LTC-USD,XRP-USD,BCH-USD,ADA-USD,EOS-USD,XLM-USD,XMR-USD
2020-02-07,0.9977510571479797,9795.943359375,222.72605895996094,74.35611724853516,0.27928420901298523,439.75341796875,0.05979033559560776,4.601564407348633,0.07162530720233917,79.56542205810547
2020-02-08,0.9995343089103699,9865.119140625,223.14651489257812,76.46755981445312,0.2772429883480072,443.5063171386719,0.05994448438286781,4.761521339416504,0.07085338234901428,80.67391967773438
2020-02-09,1.0014727115631104,10116.673828125,228.5785675048828,77.09258270263672,0.2824574410915375,449.8135986328125,0.06180914491415024,5.006862640380859,0.07282089442014694,87.6192626953125
2020-02-10,1.0006401538848877,9856.611328125,223.522705078125,74.33509826660156,0.2740804851055145,452.88751220703125,0.060394417494535446,4.906778335571289,0.07085521519184113,84.8243408203125
2020-02-11,0.9984226226806641,10208.236328125,235.8511962890625,76.59739685058594,0.2801406979560852,461.2581787109375,0.0632278174161911,5.245845794677734,0.07374092936515808,89.82136535644531
2020-02-12,1.0025590658187866,10326.0546875,265.4061279296875,81.29745483398438,0.304392546415329,475.48052978515625,0.06837289035320282,5.351983547210693,0.08003954589366913,95.24085998535156
2020-02-13,0.9985787272453308,10214.3798828125,268.0992431640625,80.40342712402344,0.3267061710357666,474.3179931640625,0.06858132779598236,5.3415751457214355,0.08265472948551178,92.46109008789062
2020-02-14,1.0001139640808105,10312.1162109375,284.2174987792969,82.99034881591797,0.3348221182823181,491.16064453125,0.07057958841323853,5.361947059631348,0.08579612523317337,94.8198013305664
2020-02-15,0.9991279244422913,9889.4248046875,264.72857666015625,76.51324462890625,0.3062363266944885,437.6649475097656,0.063863106071949,4.7431182861328125,0.07924628257751465,88.87413787841797
2020-02-16,0.9992722868919373,9934.43359375,259.89471435546875,75.152587890625,0.2950338125228882,415.9406433105469,0.06265363842248917,4.41225004196167,0.07507863640785217,88.41964721679688
2020-02-17,0.9984743595123291,9690.142578125,266.3634338378906,73.25130462646484,0.2865718603134155,409.3445739746094,0.06004239618778229,4.346359729766846,0.07185084372758865,82.40095520019531
2020-02-18,1.0007585287094116,10141.99609375,281.944580078125,77.0351791381836,0.2979126572608948,418.8741760253906,0.06259654462337494,4.587671756744385,0.07464157044887543,86.10216522216797
2020-02-19,1.0013236999511719,9633.38671875,259.76397705078125,71.13594055175781,0.2776021957397461,382.21942138671875,0.05764532461762428,4.009204864501953,0.07072026282548904,78.18938446044922
